Campaign,Sitelink Text,Description Line 1,Description Line 2,Final URL
Medical Mystery Solver,Diabetes Reversal Program,96% success rate reversing Type 2,$295 initial $199 follow-ups,https://advancedfunctionalmedicine.com/diabetes-reversal
Medical Mystery Solver,Hormone Optimization,Balance hormones naturally,Men's & women's hormone therapy,https://advancedfunctionalmedicine.com/hormone-therapy
Medical Mystery Solver,Free Discovery Call,Talk to our team risk-free,See if we're the right fit,https://advancedfunctionalmedicine.com/book-discovery-call
Medical Mystery Solver,Virtual Nationwide Care,Telemedicine across all 50 states,World-class care from home,https://advancedfunctionalmedicine.com/telehealth
Condition Remission,Type 2 Diabetes Care,Evidence-based reversal protocols,96% success rate documented,https://advancedfunctionalmedicine.com/diabetes-reversal
Condition Remission,Thyroid Treatment,Comprehensive thyroid testing,Beyond basic TSH panels,https://advancedfunctionalmedicine.com/thyroid-treatment
Condition Remission,Autoimmune Solutions,Root-cause autoimmune treatment,Reduce inflammation naturally,https://advancedfunctionalmedicine.com/autoimmune
Condition Remission,Gut Health Programs,Heal leaky gut & microbiome,Eliminate chronic digestive issues,https://advancedfunctionalmedicine.com/gut-health
Virtual Authority,Meet Dr. Matthew Willis,Board-Certified Diplomate Internist,12+ years functional medicine,https://advancedfunctionalmedicine.com/about
Virtual Authority,Telehealth Appointments,Full virtual care nationwide,Same quality as in-person,https://advancedfunctionalmedicine.com/telehealth
Virtual Authority,Our 12+ Person Team,Largest functional team in CA,Comprehensive specialist care,https://advancedfunctionalmedicine.com/team
Virtual Authority,Patient Success Stories,Real results from real patients,96% diabetes reversal rate,https://advancedfunctionalmedicine.com/testimonials
