run_id,website,status,gamma_url,keywords_count,quick_wins,traffic_value,ai_overview_serp_count,error
proactivwellnesscenters-com_20260303_144245,https://proactivwellnesscenters.com,submitted,PENDING:KgtakpHS58AzkUD5sOg1T,100,10,1282,19,
forumhealth-com_20260303_144253,https://forumhealth.com,submitted,PENDING:OkQeFGhWYPZXMNRsusOaC,101,7,51123,18,
wclinicaz-com_20260303_144302,https://wclinicaz.com,submitted,PENDING:4KB4PPGiurbY2YUl7Inbc,100,0,117,2,
rhealthc-com_20260303_144304,https://rhealthc.com,submitted,PENDING:7pPeSurFlseClNM1FoIpX,102,9,3459,13,
www-outsidetheboxfm-com_20260303_144306,https://www.outsidetheboxfm.com,submitted,PENDING:irK25E2eDhXfeecbYnjXK,103,2,0,3,
enlivenfm-com_20260303_144310,https://enlivenfm.com,submitted,PENDING:TjzW5Vc8oYQF3jhalWjyh,101,2,944,3,
torontofunctionalmedicine-com_20260303_144313,https://torontofunctionalmedicine.com,submitted,PENDING:NP145FJETEtnisQOH8K18,103,6,237,43,
atmaclinic-com_20260303_144317,https://atmaclinic.com,submitted,PENDING:UMhnWi3U2itjnU6O72Nly,101,0,119,16,
holistichealthcollectivesearcy-com_20260303_144320,https://holistichealthcollectivesearcy.com,submitted,PENDING:mjAC5mawHcg5NsZ434yvE,103,0,0,1,
delawareintegrativemedicine-com_20260303_144323,https://delawareintegrativemedicine.com,submitted,PENDING:W3TjNQJSNp2jYmYKsOcuT,101,3,171,16,
